shape,m,n,k,mnk,source,mode_count,modes_available,baseline_tflops,baseline_ms,best_user,best_user_tflops,best_user_ms,ratio_pct
128x128x128,128,128,128,2097152,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",0.6151719999999999,0.006926133333333334,v1,0.6824416666666666,0.006146026666666666,110.93509891000674
192x192x192,192,192,192,7077888,under1024,7,"library_cublas_gemm,v1,v2,v3,v4,v5,v6",1.7248766666666668,0.008206826666666667,v1,1.38207,0.010242433333333334,80.1257287960685
256x256x256,256,256,256,16777216,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",3.2722300000000004,0.010254266666666666,v6,2.729506666666667,0.012293233333333334,83.41426692703955
320x320x320,320,320,320,32768000,under1024,7,"library_cublas_gemm,v1,v2,v3,v4,v5,v6",3.5533333333333332,0.018443533333333335,v6,4.567266666666667,0.014349066666666667,128.5347091932458
256x512x256,256,512,256,33554432,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",4.67303,0.014360900000000001,v6,5.457260000000001,0.012297166666666666,116.78204505427959
512x256x256,512,256,256,33554432,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",4.677993333333333,0.014345666666666666,v6,5.45925,0.012292666666666667,116.70067935111778
256x768x256,256,768,256,50331648,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",3.7895333333333334,0.0265635,v6,8.184896666666667,0.012298666666666666,215.98692890945236
768x256x256,768,256,256,50331648,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",6.150816666666667,0.016365866666666666,v6,8.189226666666666,0.012292166666666667,133.14047728079467
384x384x384,384,384,384,56623104,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",6.16901,0.0183573,v6,6.908446666666666,0.016392399999999998,111.98631006703938
512x512x256,512,512,256,67108864,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",7.2748099999999996,0.01844963333333333,v6,7.278156666666667,0.018441166666666665,100.04600349241653
448x448x448,448,448,448,89915392,under1024,7,"library_cublas_gemm,v1,v2,v3,v4,v5,v6",7.311253333333333,0.024596433333333334,v6,6.269376666666666,0.028684,85.74968450461753
512x768x256,512,768,256,100663296,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",4.634530000000001,0.04344990000000001,v6,10.916433333333332,0.018442566666666667,235.5456396513418
768x512x256,768,512,256,100663296,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",12.284799999999999,0.01638826666666667,v6,10.913033333333333,0.018448266666666668,88.83362637839716
512x896x256,512,896,256,117440512,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",4.559266666666667,0.051521199999999996,v6,8.822470000000001,0.026623033333333334,193.50633873868605
896x512x256,896,512,256,117440512,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",8.924570000000001,0.02631876666666667,v6,8.820333333333332,0.026629466666666667,98.83202589405799
512x960x256,512,960,256,125829120,under1024,7,"library_cublas_gemm,v1,v2,v3,v4,v5,v6",4.91291,0.051223866666666666,v6,9.44975,0.026631200000000004,192.34526991131528
960x512x256,960,512,256,125829120,under1024,8,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v9",9.535863333333333,0.026390733333333333,v6,9.451513333333333,0.026626233333333332,99.11544453762095
512x512x512,512,512,512,134217728,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",10.077433333333333,0.026637300000000003,v6,8.18615,0.0327914,81.23248975433559
768x768x384,768,768,384,226492416,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",5.26106,0.08610146666666667,v6,12.282233333333332,0.03688126666666667,233.4554886911256
640x640x640,640,640,640,262144000,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",5.446360000000001,0.0962639,v6,8.917926666666666,0.0587906,163.74104294733849
768x896x384,768,896,384,264241152,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",5.328250000000001,0.09918496666666667,v7,11.728333333333333,0.04506026666666666,220.11604810835323
896x768x384,896,768,384,264241152,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",5.343430000000001,0.09890336666666666,v7,11.728333333333333,0.045060333333333334,219.49072661817092
384x960x768,384,960,768,283115520,under1024,7,"library_cublas_gemm,v1,v2,v3,v4,v5,v6",5.418606666666666,0.10449766666666667,v6,11.991933333333334,0.04721773333333334,221.3102753352338
768x960x384,768,960,384,283115520,under1024,7,"library_cublas_gemm,v1,v2,v3,v4,v5,v6",5.359513333333333,0.10565000000000001,v6,11.5189,0.0491568,214.92436502319242
960x384x768,960,384,768,283115520,under1024,8,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v9",8.539286666666667,0.0663267,v6,12.012500000000001,0.04713666666666667,140.67334273823028
960x768x384,960,768,384,283115520,under1024,8,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v9",5.371453333333332,0.10541533333333332,v6,11.539499999999999,0.0490689,214.83012666962884
512x896x768,512,896,768,352321536,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",5.6370000000000005,0.12500333333333333,v6,10.228566666666667,0.0688899,181.45408314115073
896x512x768,896,512,768,352321536,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",9.389573333333333,0.07504553333333333,v6,10.133133333333333,0.06953846666666667,107.91899667432529
896x896x512,896,896,512,411041792,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",5.353149999999999,0.15357,v6,10.8484,0.0757792,202.6545118294836
896x960x512,896,960,512,440401920,under1024,7,"library_cublas_gemm,v1,v2,v3,v4,v5,v6",5.445096666666667,0.16176100000000002,v6,11.5601,0.07619343333333334,212.30293432194958
960x896x512,960,896,512,440401920,under1024,8,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v9",5.406956666666667,0.16291866666666666,v6,11.581566666666667,0.0760535,214.19751221728552
768x768x768,768,768,768,452984832,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",5.60587,0.16161066666666665,v6,13.341500000000002,0.06790616666666667,237.99160522809126
960x960x512,960,960,512,471859200,under1024,7,"library_cublas_gemm,v1,v2,v3,v4,v5,v6",5.551176666666667,0.1700033333333333,v6,12.207500000000001,0.0773065,219.90833174708308
960x768x768,960,768,768,566231040,under1024,8,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v9",5.70211,0.198604,v6,12.561399999999999,0.09015413333333333,220.29389120869288
896x896x896,896,896,896,719323136,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",13.442766666666666,0.10702033333333334,v6,11.183433333333333,0.12864133333333336,83.1929439128354
960x960x960,960,960,960,884736000,under1024,7,"library_cublas_gemm,v1,v2,v3,v4,v5,v6",14.886533333333333,0.11886366666666666,v6,12.809066666666666,0.13814200000000001,86.04465781153438
1024x1024x1024,1024,1024,1024,1073741824,square8192,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",16.367433333333334,0.13120466666666666,v6,12.354766666666668,0.17381866666666665,75.4838368060152
1152x1152x1152,1152,1152,1152,1528823808,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",16.404066666666665,0.18639566666666665,v6,13.568866666666667,0.225343,82.71648087262916
1280x1280x1280,1280,1280,1280,2097152000,large_sweep,8,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7",15.5591,0.26957233333333336,v6,13.1755,0.31834066666666666,84.68034783502901
1024x2048x1024,1024,2048,1024,2147483648,large_sweep,8,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7",19.791433333333334,0.21701166666666669,v6,13.7707,0.3118913333333333,69.57909398510803
2048x1024x1024,2048,1024,1024,2147483648,large_sweep,8,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7",19.7878,0.21705133333333335,v6,13.797566666666667,0.311284,69.72764363227174
1536x1536x1536,1536,1536,1536,3623878656,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",19.229633333333336,0.37690566666666664,v8,15.184800000000001,0.47730266666666665,78.96562423620487
1024x2048x2048,1024,2048,2048,4294967296,large_sweep,8,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7",21.2642,0.4039623333333333,v6,13.983133333333333,0.6143053333333334,65.7590378821368
2048x2048x1024,2048,2048,1024,4294967296,large_sweep,8,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7",20.067800000000002,0.4280456666666666,v6,13.985866666666666,0.6141869999999999,69.69307381310689
1536x2304x1536,1536,2304,1536,5435817984,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",19.1938,0.566414,v8,14.506966666666665,0.7494073333333334,75.58152458953758
1792x1792x1792,1792,1792,1792,5754585088,large_sweep,8,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7",18.096566666666664,0.635986,v6,13.9746,0.823579,77.22238288294098
2048x2048x2048,2048,2048,2048,8589934592,square8192,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",21.413233333333334,0.8023026666666667,v8,14.728366666666666,1.1664733333333333,68.78161012582561
2304x1536x3072,2304,1536,3072,10871635968,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",20.5351,1.0588333333333333,v8,14.717366666666669,1.4774133333333335,71.66932065909914
3072x2304x1536,3072,2304,1536,10871635968,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",20.1793,1.0775033333333335,v8,16.166766666666664,1.34497,80.11559700617298
2304x2304x2304,2304,2304,2304,12230590464,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",19.781966666666666,1.23654,v8,15.908966666666666,1.5376,80.42156239942439
3456x4608x1536,3456,4608,1536,24461180928,candidate_large,4,"library_cublas_gemm,v6,v7,v8",17.61275,2.7776750000000003,v8,16.2051,3.0189500000000002,92.00777845594813
4608x3456x1536,4608,3456,1536,24461180928,candidate_large,4,"library_cublas_gemm,v6,v7,v8",17.6042,2.77902,v8,16.1696,3.02562,91.85080832983037
5376x3456x1536,5376,3456,1536,28538044416,candidate_large,4,"library_cublas_gemm,v6,v7,v8",17.55675,3.25095,v8,16.39105,3.4821600000000004,93.36038845458299
3072x3072x3072,3072,3072,3072,28991029248,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",20.9965,2.7615166666666666,v8,16.895,3.43192,80.46579191770057
3456x6144x1536,3456,6144,1536,32614907904,candidate_large,4,"library_cublas_gemm,v6,v7,v8",20.23585,3.2234800000000003,v8,16.5323,3.945595,81.69807544531118
4608x4608x1536,4608,4608,1536,32614907904,candidate_large,4,"library_cublas_gemm,v6,v7,v8",20.162,3.235405,v8,16.64565,3.918735,82.55951790496975
6144x3456x1536,6144,3456,1536,32614907904,candidate_large,4,"library_cublas_gemm,v6,v7,v8",17.74305,3.67639,v8,16.63425,3.92141,93.75079256384895
3456x4608x2304,3456,4608,2304,36691771392,candidate_large,4,"library_cublas_gemm,v6,v7,v8",20.349800000000002,3.60618,v8,16.48305,4.452120000000001,80.99858475267568
4608x3456x2304,4608,3456,2304,36691771392,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",18.132966666666665,4.046966666666667,v8,16.544166666666666,4.4356366666666664,91.2380581224988
5376x3456x2304,5376,3456,2304,42807066624,candidate_large,4,"library_cublas_gemm,v6,v7,v8",18.0888,4.73299,v8,16.8598,5.077999999999999,93.20574056874973
4608x6144x1536,4608,6144,1536,43486543872,candidate_large,4,"library_cublas_gemm,v6,v7,v8",21.259999999999998,4.091005,v8,16.51375,5.266769999999999,77.6752116650988
6144x4608x1536,6144,4608,1536,43486543872,candidate_large,4,"library_cublas_gemm,v6,v7,v8",21.359099999999998,4.071945,v8,16.717100000000002,5.202645,78.26687454059396
5376x5376x1536,5376,5376,1536,44392513536,candidate_large,4,"library_cublas_gemm,v6,v7,v8",20.226950000000002,4.38945,v8,16.693550000000002,5.318545,82.53122690272137
3456x4608x3072,3456,4608,3072,48922361856,candidate_large,4,"library_cublas_gemm,v6,v7,v8",20.46085,4.78204,v8,16.5586,5.909050000000001,80.92821168231036
3456x6144x2304,3456,6144,2304,48922361856,candidate_large,4,"library_cublas_gemm,v6,v7,v8",21.02965,4.65271,v8,16.989449999999998,5.759155,80.78807778541248
4608x3456x3072,4608,3456,3072,48922361856,candidate_large,4,"library_cublas_gemm,v6,v7,v8",20.31425,4.816549999999999,v8,16.67295,5.868475,82.07514429526071
4608x6912x1536,4608,6912,1536,48922361856,candidate_large,4,"library_cublas_gemm,v6,v7,v8",20.06395,4.876645,v8,16.6849,5.86433,83.15860037529997
6144x3456x2304,6144,3456,2304,48922361856,candidate_large,4,"library_cublas_gemm,v6,v7,v8",18.224899999999998,5.3689,v8,17.0443,5.740605,93.522049503701
6912x4608x1536,6912,4608,1536,48922361856,candidate_large,4,"library_cublas_gemm,v6,v7,v8",20.752650000000003,4.714805,v8,16.6993,5.859205,80.46827754527735
3840x3840x3840,3840,3840,3840,56623104000,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",20.6985,5.4712233333333335,v8,16.8823,6.707986666666667,81.56291518709085
5376x3456x3072,5376,3456,3072,57076088832,candidate_large,4,"library_cublas_gemm,v6,v7,v8",17.6881,6.453625000000001,v8,16.95045,6.73459,95.8296821026566
3456x6144x3072,3456,6144,3072,65229815808,candidate_large,4,"library_cublas_gemm,v6,v7,v8",20.9877,6.21603,v8,17.1754,7.595750000000001,81.83555129909423
