mode,duration_us,sm_throughput_pct,memory_throughput_pct,dram_throughput_pct,l1tex_throughput_pct,l2_throughput_pct,issue_slots_busy_pct,sm_busy_pct,achieved_occupancy_pct,theoretical_occupancy_pct,eligible_warps_per_scheduler,active_warps_per_scheduler,one_or_more_eligible_pct,warp_cycles_per_issued_instruction,regs_per_thread,dynamic_smem_per_block_kb,executed_ipc_active,executed_instructions
library_cublas_gemm,149.38,66.23,56.7,8.53,64.41,25.68,75.23,75.23,22.28,25.0,1.58,2.67,75.23,3.55,128.0,30.72,3.01,41981440.0
v1,954.14,94.99,94.99,1.33,95.7,17.34,34.21,35.98,97.16,100.0,1.4,11.66,34.22,34.08,40.0,0.0,1.37,144211968.0
v2,246.18,53.32,72.48,5.16,81.58,18.09,50.32,50.32,43.19,50.0,1.51,5.16,50.2,10.28,72.0,0.0,2.01,47722496.0
v3,315.01,77.26,77.26,4.03,86.3,14.42,43.47,43.47,50.08,66.67,1.51,6.03,43.53,13.85,64.0,0.0,1.74,54018048.0
v4,244.19,53.61,72.87,5.2,82.1,18.27,50.5,50.5,43.05,50.0,1.49,5.17,50.58,10.22,72.0,0.0,2.02,47591424.0
v5,287.58,58.61,63.95,4.42,72.01,16.05,47.77,47.77,42.44,50.0,1.52,5.09,47.79,10.66,80.0,0.0,1.91,53352448.0
v6,195.78,56.62,72.8,6.49,82.19,23.36,63.92,63.92,43.29,50.0,2.02,5.21,64.0,8.13,65.0,18.43,2.56,47669248.0
v7,252.9,38.77,49.01,5.02,73.92,9.04,58.48,58.48,66.45,66.67,2.26,7.96,58.46,13.62,64.0,69.63,2.34,42864640.0
v8,233.18,37.97,49.36,5.46,70.25,14.85,54.03,54.03,22.6,33.33,1.22,2.73,54.3,5.04,126.0,36.86,2.16,39170560.0
v9,263.1,37.63,74.68,4.83,85.91,15.95,43.29,43.29,28.56,33.33,0.76,3.46,43.54,7.95,95.0,26.62,1.73,43684864.0
