reason,v6_pct,v8_pct,delta_v8_minus_v6
not_selected,29.37,33.75,4.379999999999999
mio_throttle_pipe_mio,17.53,8.72,-8.81
mio_throttle,17.53,8.72,-8.81
selected,11.38,16.59,5.209999999999999
dispatch_stall,8.36,15.12,6.76
short_scoreboard,14.63,10.04,-4.590000000000002
barrier,10.65,8.9,-1.75
wait,4.47,2.52,-1.9499999999999997
math_pipe_throttle,1.86,1.75,-0.1100000000000001
long_scoreboard,0.84,1.09,0.2500000000000001
long_scoreboard_pipe_l1tex,0.84,1.09,0.2500000000000001
lg_throttle,0.05,0.73,0.6799999999999999
no_instruction,0.45,0.52,0.07
branch_resolving,0.38,0.29,-0.09000000000000002
drain,0.02,0.03,0.009999999999999998
tex_throttle,0.0,0.0,0.0
membar,0.0,0.0,0.0
sleeping,0.0,0.0,0.0
misc,0.0,0.0,0.0
